yyyy-mm-dd,bacth,pv,foliocdode,desc,paayee,amount,type
18-08-20,12353,TSA3972A,09-651-2049,MTC OF PUBLIC BUILDING,RAIB WORLDWIDE INTER BIZ LTD,75250,Debit
18-08-20,12261,TSA3972B,09-651-2049,VAT DED FRM RAIB WORLDWIDE INTER BIZ LTD,FIRS VAT,6450,Debit
